2026-06-07 00:10:57,702 [INFO] ==================================================
2026-06-07 00:10:57,702 [INFO] Bot BTC/USDT 5m iniciando...
2026-06-07 00:11:12,643 [ERROR] [Telegram] Error al enviar mensaje: 400 Client Error: Bad Request for url: https://api.telegram.org/bot8963387948:AAFT3dPT-rJ9I-hsdGsidIqQMp-HROgd1e4/sendMessage
2026-06-07 00:48:15,331 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:48:45,997 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:49:16,670 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:49:47,329 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:50:17,992 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:50:49,229 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:51:19,881 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:51:51,133 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:52:21,789 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:52:52,441 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:53:23,147 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:53:53,806 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:54:24,475 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:54:55,135 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:55:25,831 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:55:56,503 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:56:27,164 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:56:57,821 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:57:28,489 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:57:59,161 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:58:29,818 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:59:00,485 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 00:59:31,156 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:00:01,821 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:00:32,483 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:01:03,190 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:01:33,849 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:02:04,505 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:02:35,158 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:03:05,819 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:03:36,498 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:04:07,189 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:04:37,857 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:05:08,532 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:05:39,752 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:06:10,437 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:06:41,112 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:07:11,770 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:07:42,433 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:08:13,131 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:08:43,823 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:09:14,502 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:09:45,169 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:10:15,851 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:10:46,545 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:11:17,224 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:11:47,906 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:12:18,571 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:12:49,239 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:13:19,908 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:13:50,596 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:14:21,278 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:14:51,987 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:15:22,646 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:15:53,306 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:16:23,992 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
2026-06-07 01:16:54,667 [INFO] Filtro: precio comprimido contra MA, señal ignorada.
